广东频道,#genre#
CCTV-16,http://111.165.222.109:8000/rtp/225.1.2.237:5002
CCTV-16,http://114.246.102.14:4000/rtp/239.3.1.183:8001
CCTV-16,http://114.246.102.14:4000/rtp/239.3.1.184:8001
CCTV-16,http://171.116.35.81:8003/rtp/226.0.2.169:9264
CCTV-16,http://124.90.165.95:8888/rtp/233.50.201.192:5140
CCTV-16,http://118.81.48.104:8084/rtp/226.0.2.169:9264
CCTV-16,http://61.240.57.248:8083/rtp/226.0.2.169:9264
CCTV-16,http://111.167.221.130:8686/rtp/225.1.2.237:5002
CCTV-16,http://111.196.128.239:4022/rtp/239.3.1.183:8001
CCTV-16,http://111.196.128.239:4022/rtp/239.3.1.184:8001
CCTV-16,http://42.4.215.177:9020/rtp/232.0.0.182:1234
CCTV-17,http://60.7.56.33:4000/rtp/239.253.93.150:6318$1920x1080
CCTV-17,http://sweetown.fun:4000/rtp/239.3.1.151:8144$1920x1080
CCTV-17,http://111.193.230.4:4022/rtp/239.3.1.151:8144
CCTV-17,http://115.60.241.249:2000/rtp/225.1.4.226:2506
CCTV-17,http://115.60.241.249:2000/rtp/225.1.4.227:2507
CCTV-17,http://118.81.48.104:8082/rtp/226.0.2.170:9272
CCTV-17,http://118.81.48.104:8082/rtp/226.0.2.207:9568
CCTV-17,http://27.10.76.34:8001/rtp/225.0.4.179:7980
CCTV-17,http://27.10.76.34:8006/rtp/225.0.4.179:7980
CCTV-17,http://27.10.74.78:8005/rtp/225.0.4.179:7980
CCTV-17,http://111.165.222.109:8000/rtp/225.1.2.52:5002
CCTV-17,http://171.105.201.164:4022/rtp/239.81.0.227:4056
CCTV-17,http://171.213.133.3:9999/rtp/239.93.0.92:5140
CCTV-17,http://114.246.102.14:4000/rtp/239.3.1.151:8144
CCTV-17,http://27.11.56.206:8007/rtp/225.0.4.179:7980
卫视频道,#genre#
广东卫视,http://sweetown.fun:4000/rtp/239.3.1.142:8048$1920x1080
广东卫视,http://111.193.230.4:4022/rtp/239.3.1.142:8048
广东卫视,http://115.60.241.249:2000/rtp/225.1.4.166:1207
广东卫视,http://115.60.241.249:2000/rtp/225.1.4.30:1059
广东卫视,http://118.81.48.104:8082/rtp/226.0.2.146:9080
广东卫视,http://118.81.48.104:8082/rtp/226.0.2.45:8272
广东卫视,http://27.10.76.34:8001/rtp/225.0.4.84:7980
广东卫视,http://27.10.76.34:8006/rtp/225.0.4.84:7980
广东卫视,http://27.10.74.78:8005/rtp/225.0.4.84:7980
广东卫视,http://111.165.222.109:8000/rtp/225.1.1.116:5002
